,Applicant,Department,Admitted
333,Male,A,True
334,Male,D,False
335,Male,D,False
336,Female,D,True
337,Male,F,True
338,Male,F,True
339,Male,F,True
340,Male,A,False
341,Male,F,False
342,Male,E,False
343,Male,A,True
344,Female,C,True
345,Male,B,False
346,Female,C,False
347,Male,B,True
348,Male,C,True
349,Female,F,True
350,Male,C,False
351,Male,F,False
352,Male,B,True
353,Male,F,False
354,Male,B,True
355,Male,A,True
356,Female,C,True
357,Female,A,True
358,Male,B,True
359,Male,A,False
360,Male,A,True
361,Male,F,False
362,Male,A,False
363,Female,F,False
364,Male,B,True
365,Female,C,True
366,Male,B,True
367,Male,F,False
368,Male,A,True
369,Male,D,True
370,Male,A,True
371,Male,C,False
372,Female,F,False
373,Female,F,False
374,Male,E,False
375,Male,A,True
376,Female,C,False
377,Male,A,True
378,Male,A,False
379,Male,B,True
380,Male,B,False
381,Male,A,False
382,Male,D,False
383,Male,D,False
384,Male,D,False
385,Male,A,False
386,Male,A,False
387,Female,C,False
388,Female,F,False
389,Male,A,True
390,Male,F,False
391,Female,E,False
392,Male,A,False
393,Male,F,False
394,Male,F,True
395,Male,D,True
396,Female,E,True
397,Male,B,True
398,Female,F,False
399,Male,D,True
400,Male,A,True
401,Female,D,False
402,Male,B,True
403,Male,B,True
404,Female,E,False
405,Female,C,False
406,Male,A,False
407,Female,D,False
408,Male,D,False
409,Female,F,False
410,Male,A,True
411,Female,E,False
412,Male,B,False
413,Female,F,False
414,Male,E,False
415,Male,A,True
416,Male,C,False
417,Male,A,True
418,Male,B,True
419,Male,A,True
420,Female,E,False
421,Male,A,True
422,Female,D,False
423,Female,E,False
424,Male,A,True
425,Female,C,False
426,Female,D,False
427,Male,C,True
428,Female,D,True
429,Female,A,True
430,Female,C,False
431,Male,E,True
432,Female,C,False
433,Male,A,False
434,Female,D,False
435,Male,D,False
436,Female,F,True
437,Male,C,False
438,Male,D,False
439,Male,A,True
440,Female,C,False
441,Female,F,False
442,Female,E,False
443,Male,C,False
444,Female,F,False
445,Male,A,False
446,Female,A,True
447,Male,F,False
448,Male,B,True
449,Female,F,True
450,Male,C,False
451,Male,B,False
452,Male,B,True
453,Male,F,True
454,Male,C,False
455,Female,E,False
456,Female,C,False
457,Female,F,False
458,Female,F,False
459,Male,B,True
460,Female,C,False
461,Female,E,False
462,Male,A,False
463,Male,A,True
464,Female,D,True
465,Male,B,True
466,Male,D,True
467,Female,A,False
468,Male,B,False
469,Male,C,False
470,Female,C,True
471,Female,D,False
472,Female,C,False
473,Male,B,True
474,Female,C,False
475,Male,A,False
476,Male,F,False
477,Male,B,False
478,Female,A,True
479,Male,A,False
480,Male,A,False
481,Male,F,True
482,Male,E,False
483,Male,B,True
484,Male,C,True
485,Male,D,False
486,Female,E,False
487,Male,A,False
488,Male,A,False
489,Male,F,False
490,Male,D,False
491,Female,C,False
492,Male,D,False
493,Male,E,True
494,Male,A,True
495,Female,D,False
496,Female,D,True
497,Female,C,True
498,Male,D,False
499,Male,B,False
500,Male,B,True
501,Female,C,False
502,Male,C,False
503,Male,E,False
504,Male,A,True
505,Female,E,False
506,Female,F,True
507,Male,B,True
508,Male,A,True
509,Female,E,False
510,Female,E,False
511,Female,D,True
512,Female,E,True
513,Male,D,True
514,Male,A,False
515,Male,E,False
516,Female,E,False
517,Male,E,False
518,Female,C,False
519,Male,E,False
520,Female,C,False
521,Female,F,False
522,Male,A,False
523,Male,C,True
524,Male,F,True
525,Female,A,False
526,Male,C,True
527,Female,D,False
528,Male,A,False
529,Female,D,False
530,Male,F,True
531,Female,E,False
532,Female,C,True
533,Male,A,True
534,Female,C,True
535,Male,A,False
536,Female,D,False
537,Male,C,True
538,Female,E,False
539,Male,C,False
540,Male,A,True
541,Male,A,False
542,Female,D,True
543,Male,D,False
544,Male,E,False
545,Female,D,True
546,Male,F,False
547,Male,C,False
548,Female,E,True
549,Male,D,False
550,Female,C,True
551,Female,C,False
552,Male,A,True
553,Male,C,False
554,Male,B,False
555,Male,A,False
556,Female,F,False
557,Male,F,False
558,Male,A,True
559,Female,C,False
560,Female,F,False
561,Male,A,False
562,Male,B,True
563,Male,A,True
564,Female,C,False
565,Female,A,True
566,Male,C,False
567,Male,B,True
568,Male,A,False
569,Female,E,False
570,Female,B,False
571,Male,A,False
572,Female,E,False
573,Female,C,True
574,Female,C,False
575,Female,D,False
576,Male,C,True
577,Male,C,False
578,Female,F,False
579,Female,C,False
580,Male,D,False
581,Female,D,False
582,Female,C,False
583,Female,D,True
584,Female,C,False
585,Male,F,False
586,Female,D,False
587,Male,A,True
588,Female,C,False
589,Male,B,True
590,Male,D,False
591,Male,D,True
592,Male,B,True
593,Male,A,False
594,Male,D,False
595,Male,D,False
596,Female,D,True
597,Male,B,False
598,Female,C,False
599,Female,B,True
600,Male,D,False
601,Female,C,False
602,Male,A,True
603,Female,E,False
604,Female,A,True
605,Male,A,False
606,Male,B,True
607,Female,E,False
608,Male,C,True
609,Male,E,False
610,Male,C,False
611,Male,E,False
612,Female,C,False
613,Female,C,False
614,Male,C,False
615,Female,C,True
616,Male,D,True
617,Male,E,False
618,Male,A,False
619,Male,E,False
620,Male,D,True
621,Male,F,False
622,Female,C,True
623,Male,E,True
624,Male,E,False
625,Male,C,False
626,Female,D,False
627,Male,D,False
628,Female,D,True
629,Female,E,False
630,Female,D,False
631,Female,D,False
632,Male,A,True
633,Male,C,True
634,Male,A,False
635,Female,F,False
636,Female,C,True
637,Male,F,False
638,Male,D,False
639,Male,B,True
640,Male,A,True
641,Female,E,True
642,Male,B,False
643,Female,D,False
644,Male,C,False
645,Male,A,False
646,Male,A,True
647,Female,E,False
648,Male,C,False
649,Female,C,False
650,Female,C,False
651,Male,F,False
652,Male,B,False
653,Male,A,True
654,Male,B,True
655,Male,A,True
656,Female,A,True
657,Male,A,True
658,Female,F,False
659,Male,F,False
660,Female,E,False
661,Male,A,True
662,Male,B,True
663,Male,D,True
664,Male,A,False
665,Male,F,True
666,Female,C,True
667,Female,F,False
668,Female,E,False
669,Male,A,True
670,Female,B,False
671,Female,D,False
672,Female,F,True
673,Male,F,False
674,Male,A,True
675,Female,E,False
676,Female,E,True
677,Male,B,False
678,Male,B,True
679,Female,C,True
680,Male,C,False
681,Female,F,False
682,Female,E,False
683,Female,D,False
684,Female,F,False
685,Male,B,True
686,Male,C,True
687,Male,E,False
688,Female,E,True
689,Female,C,True
690,Male,C,True
691,Male,F,False
692,Female,D,False
693,Male,A,True
694,Male,F,False
695,Male,A,False
696,Male,B,False
697,Male,A,True
698,Female,E,False
699,Male,E,False
700,Male,C,True
701,Male,E,False
702,Male,F,False
703,Male,A,True
704,Female,F,False
705,Female,D,False
706,Female,F,False
707,Male,F,False
708,Male,D,False
709,Female,F,False
710,Female,A,True
711,Male,D,False
712,Female,E,True
713,Male,E,False
714,Male,B,True
715,Male,B,True
716,Male,E,False
717,Female,E,False
718,Female,C,True
719,Female,D,False
720,Male,C,False
721,Male,B,False
722,Male,A,False
723,Female,E,True
724,Female,F,True
725,Male,A,False
726,Male,B,True
727,Female,A,True
728,Male,F,False
729,Male,D,False
730,Female,F,False
731,Male,A,True
732,Male,F,False
733,Female,F,True
734,Male,A,False
735,Male,A,False
736,Female,F,False
737,Male,A,False
738,Male,A,False
739,Female,F,True
740,Male,C,True
741,Female,A,True
742,Female,D,True
743,Female,E,True
744,Male,E,False
745,Male,F,True
746,Female,C,False
747,Female,D,False
748,Male,C,True
749,Male,C,True
750,Female,F,False
751,Male,F,False
752,Male,B,True
753,Male,D,False
754,Male,B,True
755,Male,C,False
756,Female,D,True
757,Female,D,False
758,Male,C,False
759,Male,C,True
760,Female,C,False
761,Female,C,True
762,Male,B,True
763,Female,E,False
764,Female,D,True
765,Female,C,True
766,Female,C,False
767,Male,B,True
768,Male,B,True
769,Male,A,True
770,Male,F,False
771,Male,F,True
772,Female,C,False
773,Male,F,False
774,Male,B,False
775,Male,E,True
776,Male,A,True
777,Female,E,False
778,Female,C,False
779,Female,C,False
780,Male,A,True
781,Female,F,False
782,Male,B,True
783,Female,E,False
784,Male,F,False
785,Female,F,True
786,Male,A,True
787,Male,A,True
788,Male,A,True
789,Male,B,False
790,Male,E,False
791,Male,D,True
792,Female,E,False
793,Male,E,False
794,Male,B,True
795,Male,B,True
796,Male,D,False
797,Female,D,True
798,Male,B,True
799,Female,E,False
800,Female,B,True
801,Female,E,False
802,Female,C,False
803,Male,D,True
804,Male,A,True
805,Male,B,True
806,Female,C,True
807,Female,E,False
808,Female,F,True
809,Male,B,False
810,Male,E,False
811,Female,F,False
812,Female,C,False
813,Female,D,False
814,Male,E,False
815,Female,C,True
816,Female,C,True
817,Male,C,True
818,Male,A,True
819,Male,B,True
820,Male,F,False
821,Male,C,True
822,Female,A,True
823,Male,A,False
824,Male,D,False
825,Male,A,False
826,Female,E,False
827,Male,F,True
828,Male,F,False
829,Male,C,False
830,Female,C,False
831,Female,D,False
832,Male,F,False
833,Male,E,False
834,Male,F,True
835,Female,F,False
836,Male,F,True
837,Male,B,True
838,Male,F,True
839,Male,D,False
840,Male,A,True
841,Female,E,False
842,Female,F,True
843,Male,D,False
844,Female,A,False
845,Male,D,True
846,Male,D,False
847,Male,E,False
848,Female,D,True
849,Male,B,True
850,Female,C,False
851,Male,A,False
852,Male,A,True
853,Male,E,False
854,Female,C,False
855,Female,C,True
856,Male,F,False
857,Male,B,True
858,Female,E,False
859,Male,B,False
860,Female,F,False
861,Male,C,False
862,Female,E,True
863,Male,E,False
864,Male,C,True
865,Male,A,True
866,Female,C,False
867,Female,E,False
868,Female,D,True
869,Female,E,True
870,Male,A,True
871,Male,B,True
872,Female,C,False
873,Female,E,False
874,Male,F,False
875,Male,A,False
876,Male,B,False
877,Male,A,True
878,Male,D,False
879,Male,F,False
880,Female,C,False
881,Male,A,True
882,Male,B,True
883,Male,A,True
884,Female,A,False
885,Male,E,False
886,Female,E,False
887,Male,A,False
888,Male,A,True
889,Male,D,True
890,Male,B,False
891,Female,F,False
892,Female,A,True
893,Male,A,False
894,Female,C,True
895,Female,C,False
896,Male,B,True
897,Male,A,True
898,Male,C,False
899,Female,E,False
900,Male,F,True
901,Female,E,False
902,Female,C,True
903,Female,E,False
904,Female,C,True
905,Female,E,False
906,Male,A,False
907,Male,D,False
908,Female,C,True
909,Female,C,False
910,Male,B,True
911,Male,F,False
912,Male,C,False
913,Female,C,True
914,Female,C,False
915,Male,C,True
916,Male,D,False
917,Male,A,True
918,Male,A,True
919,Male,D,True
920,Female,A,False
921,Male,A,False
922,Male,A,True
923,Male,A,True
924,Male,B,True
925,Male,A,True
926,Male,A,True
927,Male,F,False
928,Male,A,False
929,Female,F,False
930,Male,F,False
931,Female,D,False
932,Female,E,False
933,Female,E,False
934,Male,F,False
935,Male,D,True
936,Male,D,True
937,Male,D,True
938,Male,D,False
939,Female,A,True
940,Male,A,False
941,Female,C,False
942,Male,A,True
943,Female,D,False
944,Female,C,False
945,Male,F,True
946,Male,B,True
947,Male,F,False
948,Male,B,False
949,Female,D,False
950,Male,A,True
951,Male,A,True
952,Female,A,True
953,Female,F,False
954,Male,C,False
955,Male,C,False
956,Female,C,False
957,Male,F,False
958,Male,B,True
959,Female,D,True
960,Female,F,True
961,Female,B,False
962,Male,B,False
963,Male,B,False
964,Male,D,True
965,Male,C,True
966,Male,A,True
967,Male,A,True
968,Male,A,False
969,Female,C,True
970,Female,A,False
971,Male,A,False
972,Male,E,False
973,Female,C,False
974,Male,A,True
975,Male,E,False
976,Male,B,True
977,Male,A,True
978,Male,A,False
979,Male,F,True
980,Female,E,False
981,Male,D,True
982,Male,B,True
983,Male,E,False
984,Male,B,False
985,Male,D,False
986,Female,E,True
987,Female,C,False
988,Male,D,False
989,Male,F,False
990,Female,C,False
991,Male,B,True
992,Male,A,False
993,Male,B,True
994,Male,E,False
995,Male,A,True
996,Male,F,True
997,Male,C,False
998,Female,F,True
999,Female,C,False
1000,Male,E,False
1001,Male,C,False
1002,Male,A,False
1003,Female,D,True
1004,Female,C,False
1005,Female,E,False
1006,Female,E,False
1007,Male,D,True
1008,Female,C,False
1009,Male,D,False
1010,Female,D,False
1011,Female,C,True
1012,Male,F,True
1013,Male,A,False
1014,Female,D,False
1015,Male,B,True
1016,Female,C,True
1017,Male,A,True
1018,Male,F,False
1019,Female,C,False
1020,Female,C,False
1021,Male,D,True
1022,Female,F,False
1023,Male,D,False
1024,Female,C,False
1025,Male,F,True
1026,Female,F,False
1027,Male,A,True
1028,Male,D,False
1029,Female,D,True
1030,Male,F,False
1031,Male,A,False
1032,Male,A,True
1033,Male,A,False
1034,Male,B,True
1035,Male,D,True
1036,Male,C,False
1037,Female,E,True
1038,Female,F,False
1039,Female,C,True
1040,Female,C,True
1041,Male,D,False
1042,Male,A,False
1043,Male,E,False
1044,Male,C,True
1045,Male,D,False
1046,Male,A,True
1047,Male,C,False
1048,Female,C,False
1049,Male,D,False
1050,Male,A,False
1051,Male,B,False
1052,Male,A,False
1053,Female,D,True
1054,Female,D,True
1055,Male,F,True
1056,Male,B,False
1057,Female,C,True
1058,Female,C,False
1059,Male,E,False
1060,Female,C,True
1061,Female,D,False
1062,Female,C,False
1063,Male,B,False
1064,Male,B,True
1065,Male,F,False
1066,Female,C,False
1067,Male,A,False
1068,Male,E,False
1069,Male,B,True
1070,Female,E,True
1071,Male,A,True
1072,Female,A,False
1073,Male,C,True
1074,Female,A,True
1075,Male,A,True
1076,Female,C,False
1077,Male,A,True
1078,Female,C,True
1079,Male,C,False
1080,Male,B,True
1081,Male,D,True
1082,Male,B,False
1083,Male,C,True
1084,Male,A,True
1085,Female,E,True
1086,Female,F,True
1087,Male,B,True
1088,Male,A,True
1089,Male,C,False
1090,Female,A,False
1091,Male,E,False
1092,Male,B,True
1093,Male,B,True
1094,Male,F,False
1095,Female,C,False
1096,Male,A,True
1097,Male,B,True
1098,Male,A,False
1099,Female,C,False
1100,Male,F,False
1101,Female,C,False
1102,Female,B,True
1103,Male,D,False
1104,Male,A,True
1105,Male,B,True
1106,Male,D,False
1107,Female,E,False
1108,Male,D,False
1109,Male,A,False
1110,Male,D,True
1111,Female,F,False
1112,Male,D,False
1113,Male,F,False
1114,Male,A,True
1115,Male,A,True
1116,Female,C,True
1117,Male,F,False
1118,Female,C,False
1119,Female,F,False
1120,Male,A,False
1121,Female,F,False
1122,Female,C,True
1123,Male,A,True
1124,Female,E,False
1125,Male,D,True
1126,Female,E,False
1127,Male,A,True
1128,Female,F,False
1129,Male,A,False
1130,Female,F,False
1131,Female,F,False
1132,Male,E,True
1133,Male,A,True
1134,Male,B,False
1135,Male,E,False
1136,Female,A,True
1137,Female,A,True
1138,Male,C,True
1139,Male,A,True
1140,Male,C,False
1141,Female,F,False
1142,Male,C,False
1143,Male,C,False
1144,Male,B,False
1145,Female,C,False
1146,Male,F,False
1147,Male,A,False
1148,Male,D,False
1149,Male,C,True
1150,Male,D,False
1151,Female,F,True
1152,Male,D,False
1153,Male,A,True
1154,Male,C,True
1155,Male,B,False
1156,Male,A,True
1157,Male,C,False
1158,Male,E,False
1159,Male,B,True
1160,Female,D,True
1161,Male,C,False
1162,Female,A,True
1163,Male,A,True
1164,Male,F,False
1165,Female,F,False
1166,Female,E,False
1167,Male,F,True
1168,Male,C,False
1169,Male,E,True
1170,Female,B,False
1171,Male,E,False
1172,Female,C,True
1173,Female,C,False
1174,Female,C,True
1175,Female,F,False
1176,Male,B,True
1177,Male,B,True
1178,Female,C,True
1179,Female,E,True
1180,Female,E,True
1181,Female,F,True
1182,Female,D,True
1183,Male,E,True
1184,Male,B,True
1185,Male,A,True
1186,Female,D,True
1187,Male,A,True
1188,Male,D,False
1189,Male,D,False
1190,Female,D,False
1191,Male,F,False
1192,Female,D,False
1193,Male,B,False
1194,Female,F,False
1195,Female,D,False
1196,Female,C,False
1197,Female,D,False
1198,Male,D,True
1199,Male,B,False
1200,Female,D,True
1201,Female,C,True
1202,Male,A,False
1203,Male,C,True
1204,Female,E,False
1205,Female,D,False
1206,Male,A,False
1207,Female,C,False
1208,Female,C,True
1209,Male,E,False
1210,Male,A,True
1211,Female,C,False
1212,Male,A,True
1213,Female,C,False
1214,Male,B,False
1215,Female,D,False
1216,Male,F,False
1217,Female,F,True
1218,Female,C,True
1219,Male,C,False
1220,Male,B,True
1221,Female,D,False
1222,Male,A,True
1223,Male,A,True
1224,Male,A,True
1225,Female,C,False
1226,Male,B,False
1227,Female,E,True
1228,Male,C,False
1229,Female,B,True
1230,Male,C,False
1231,Female,C,True
1232,Male,D,False
1233,Female,E,False
1234,Female,F,False
1235,Male,D,True
1236,Female,F,True
1237,Male,D,False
1238,Male,B,True
1239,Female,D,True
1240,Female,F,False
1241,Female,C,False
1242,Female,C,True
1243,Male,A,False
1244,Male,B,True
1245,Male,D,False
1246,Male,C,False
1247,Male,D,True
1248,Female,C,False
1249,Male,B,False
1250,Male,F,False
1251,Male,A,True
1252,Female,C,False
1253,Male,A,False
1254,Male,A,True
1255,Female,D,False
1256,Female,C,False
1257,Male,B,False
1258,Male,F,False
1259,Male,D,False
1260,Female,C,True
1261,Male,E,True
1262,Male,B,True
1263,Male,A,True
1264,Male,D,True
1265,Male,C,True
1266,Female,D,True
1267,Male,E,False
1268,Female,F,False
1269,Female,A,True
1270,Male,B,True
1271,Male,A,True
1272,Female,F,False
1273,Male,B,True
1274,Male,B,True
1275,Female,D,False
1276,Male,A,True
1277,Male,E,False
1278,Male,A,False
1279,Female,F,False
1280,Male,A,True
1281,Male,A,False
1282,Male,C,False
1283,Female,D,True
1284,Male,F,False
1285,Female,C,False
1286,Female,F,False
1287,Male,B,True
1288,Female,C,False
1289,Male,D,True
1290,Female,C,True
1291,Male,A,True
1292,Female,F,False
1293,Female,D,False
1294,Male,A,False
1295,Male,F,False
1296,Male,B,False
1297,Male,D,False
1298,Male,E,True
1299,Male,C,False
1300,Male,B,False
1301,Female,F,False
1302,Male,B,True
1303,Female,A,True
1304,Female,F,False
1305,Female,E,False
1306,Male,E,False
1307,Female,E,False
1308,Male,A,True
1309,Male,D,True
1310,Male,A,False
1311,Female,C,False
1312,Male,A,True
1313,Male,D,False
1314,Female,C,True
1315,Female,E,False
1316,Female,C,True
1317,Male,F,True
1318,Female,F,False
1319,Male,A,True
1320,Male,B,True
1321,Male,A,False
1322,Female,A,True
1323,Female,F,False
1324,Female,E,False
1325,Male,B,True
1326,Female,D,False
1327,Male,A,True
1328,Male,F,True
1329,Male,B,False
1330,Female,C,False
1331,Female,D,False
1332,Female,C,False
1333,Female,D,False
1334,Male,A,True
1335,Female,C,False
1336,Male,A,True
1337,Female,E,True
1338,Male,A,False
1339,Male,A,True
1340,Male,A,False
1341,Male,D,False
1342,Female,C,False
1343,Female,E,False
1344,Female,F,True
1345,Male,F,False
1346,Male,C,False
1347,Female,D,False
1348,Male,B,True
1349,Male,E,True
1350,Male,D,False
1351,Male,D,True
1352,Male,A,False
1353,Male,A,True
1354,Male,A,False
1355,Female,C,False
1356,Male,E,False
1357,Male,C,False
1358,Male,C,False
1359,Female,E,True
1360,Male,A,False
1361,Male,A,True
1362,Female,E,False
1363,Female,E,False
1364,Male,F,False
1365,Male,A,True
1366,Female,A,False
1367,Male,C,True
1368,Female,E,False
1369,Female,F,False
1370,Male,B,True
1371,Female,E,False
1372,Male,B,True
1373,Male,A,True
1374,Male,F,False
1375,Male,D,False
1376,Female,A,True
1377,Female,E,False
1378,Male,A,False
1379,Female,E,False
1380,Female,C,True
1381,Male,F,False
1382,Female,D,False
1383,Male,A,True
1384,Male,B,True
1385,Female,D,False
1386,Male,C,False
1387,Female,D,False
1388,Male,B,True
1389,Female,C,True
1390,Female,F,False
1391,Male,F,False
1392,Male,E,False
1393,Female,D,False
1394,Male,B,True
1395,Male,A,True
1396,Male,D,False
1397,Male,B,False
1398,Male,A,True
1399,Female,D,False
1400,Male,A,True
1401,Male,A,True
1402,Male,C,True
1403,Female,C,False
1404,Male,A,False
1405,Male,A,True
1406,Male,A,True
1407,Male,F,False
1408,Male,D,False
1409,Male,B,True
1410,Male,C,False
1411,Male,A,True
1412,Female,E,False
1413,Female,E,False
1414,Male,B,True
1415,Male,A,True
1416,Male,F,False
1417,Female,C,False
1418,Female,E,False
1419,Male,B,True
1420,Female,F,False
1421,Female,E,False
1422,Male,A,False
1423,Male,D,False
1424,Female,D,False
1425,Male,B,True
1426,Female,C,True
1427,Male,A,True
1428,Male,C,False
1429,Male,B,False
1430,Male,A,True
1431,Male,B,True
1432,Female,C,False
1433,Male,A,False
1434,Male,C,False
1435,Female,D,False
1436,Male,D,True
1437,Male,A,False
1438,Male,A,False
1439,Female,D,False
1440,Male,F,False
1441,Male,E,False
1442,Female,F,True
1443,Male,A,True
1444,Male,D,False
1445,Female,D,False
1446,Female,C,False
1447,Female,F,False
1448,Male,B,False
1449,Male,E,False
1450,Male,C,False
1451,Male,C,False
1452,Female,E,False
1453,Female,B,True
1454,Male,C,True
1455,Male,A,True
1456,Female,C,True
1457,Female,A,True
1458,Male,B,True
1459,Male,A,True
1460,Female,B,True
1461,Male,F,False
1462,Male,A,True
1463,Female,C,False
1464,Male,A,False
1465,Male,A,True
1466,Female,C,True
1467,Male,A,True
1468,Male,D,False
1469,Female,C,False
1470,Female,A,False
1471,Male,B,True
1472,Male,A,True
1473,Female,C,False
1474,Male,D,True
1475,Female,C,True
1476,Female,E,False
1477,Male,B,False
1478,Female,C,True
1479,Male,F,False
1480,Male,E,True
1481,Female,D,False
1482,Female,E,False
1483,Male,B,True
1484,Male,E,False
1485,Female,E,True
1486,Male,C,False
1487,Male,F,True
1488,Male,B,True
1489,Female,F,False
1490,Male,F,True
1491,Female,E,False
1492,Male,B,True
1493,Male,A,True
1494,Male,C,True
1495,Male,A,True
1496,Male,C,True
